pmid,query,search_type,page,LastAuthFirstName,LastAuthLastName,FirstAuthLastName,FirstAuthFirstName,gender_last_author,p_last_author_female,p_last_author_male,gender_first_author,p_first_author_female,p_first_author_male,firstauthor_percent_white,firstauthor_percent_black,firstauthor_percent_asian,firstauthor_percent_american_indian_alaskan_native,firstauthor_percent_multi_race,firstauthor_percent_hispanic,lastauthor_percent_white,lastauthor_percent_black,lastauthor_percent_asian,lastauthor_percent_american_indian_alaskan_native,lastauthor_percent_multi_race,lastauthor_percent_hispanic
34021443,Panhypopituitarism,relevance,1,Prakash,Nair,Gohil,Jaypalsinh,male,0.01,0.99,,,,5.35,(S),89.3,0,5.08,(S),15.53,1.93,76.8,0.35,4.94,0.46
31893082,Panhypopituitarism,relevance,1,Pramod,Reddy,Oye,Monique,male,0.01,0.99,female,0.98,0.02,64.71,7.45,24.31,(S),2.35,(S),34,2.46,57.75,0.6,4.22,0.97
34579522,Panhypopituitarism,relevance,1,Elżbieta,Radzikowska,Okła,Maciej,,,,male,0,1,,,,,,,,,,,,
31664980,Panhypopituitarism,relevance,1,Sutin,Sriussadaporn,Sirinvaravong,Sirinart,male,0.11,0.89,female,0.93,0.07,,,,,,,,,,,,
31439193,Panhypopituitarism,relevance,1,Neeraj Kumar,Singh,Sonkar,Satyendra Kumar,male,0.01,0.99,,,,,,,,,,3.51,3.09,74.44,1.01,15.3,2.65
31183350,Panhypopituitarism,relevance,2,Zhou,Wang,Jin,Ting,male,0.34,0.66,female,0.65,0.35,1.54,0.27,96.39,0.25,1.2,0.35,3.25,0.19,94.47,0.03,1.73,0.33
13222188,Panhypopituitarism,relevance,2,F,ADAMS,MACGILLIVRAY,I,male,0.14,0.86,male,0.29,0.71,97.39,0,(S),(S),1.12,0.87,76.17,19.2,0.45,0.79,1.63,1.76
30765453,Panhypopituitarism,relevance,2,Terra,Arnason,Uppal,Jasmene,female,0.58,0.42,female,1,0,2.7,(S),87.64,(S),7.98,1.12,94.92,0,(S),0,(S),3.39
32309255,Panhypopituitarism,relevance,2,Tiago,Judas,Alves,Rosa,male,0.01,0.99,female,0.98,0.02,73.98,6.32,0.79,0.3,12.31,6.3,91.67,(S),(S),0,(S),(S)
28255477,Panhypopituitarism,relevance,2,Ramesh,Pandit,Kale,Trupti,male,0.02,0.98,female,0.97,0.03,80.06,6.21,9.73,0.87,1.49,1.65,2.86,(S),91.96,0,4.77,(S)
29112045,Panhypopituitarism,relevance,2,Rose,Stephens-DiLeo,Mitchell-Brown,Fay,female,0.97,0.03,female,0.69,0.31,,,,,,,,,,,,
29722193,Panhypopituitarism,relevance,2,Michael,Dreyer,Dixon-Douglas,Julia,male,0.01,0.99,female,0.97,0.03,,,,,,,96.78,0.17,0.59,0.26,0.99,1.2
14024941,Panhypopituitarism,relevance,2,L,DANIELSEN,DANIELSEN,L,male,0.4,0.6,male,0.4,0.6,94.38,(S),0.56,(S),2.43,2.06,94.38,(S),0.56,(S),2.43,2.06
13996812,Panhypopituitarism,relevance,2,A,VERMEULEN,VERMEULEN,A,male,0.32,0.68,male,0.32,0.68,95.48,(S),0.8,(S),1.49,1.67,95.48,(S),0.8,(S),1.49,1.67
31906678,Panhypopituitarism,relevance,2,Miroslav,Penka,Polák,Pavel,male,0.01,0.99,male,0.02,0.98,,,,,,,92.98,2.34,(S),0,(S),2.68
35357097,Panhypopituitarism,pubdate_desc,1,Teresa,Borges,Mosca,Sara,female,0.98,0.02,female,0.98,0.02,92.78,0.68,(S),(S),1.28,4.7,58.93,2.03,1.37,0.16,4.68,32.83
35119230,Panhypopituitarism,pubdate_desc,1,Keisuke,Nagasaki,Morota,Kazutaka,male,0,1,male,0.01,0.99,,,,,,,,,,,,
35562099,Panhypopituitarism,pubdate_desc,1,Melanie Cree,Green,Elliott,Victoria,female,0.98,0.02,female,0.98,0.02,83.87,12.16,0.42,0.62,1.48,1.45,59.33,36.23,0.34,0.61,1.78,1.71
29083725,Panhypopituitarism,pubdate_desc,1,,,,,female,0.7,0.3,female,0.7,0.3,,,,,,,,,,,,
35485414,Panhypopituitarism,pubdate_desc,1,James,Palmer,Patel,Tapan,male,0.01,0.99,male,0.01,0.99,1.55,0.26,91.37,0.41,5.84,0.57,77.87,17.31,0.45,0.83,1.62,1.93
35528001,Panhypopituitarism,pubdate_desc,1,Xueyan,Wu,Zhu,Yiyi,female,0.79,0.21,female,0.68,0.32,0.73,(S),97.89,(S),1.12,0.14,1.32,0.19,95.94,0.02,2,0.52
35456463,Panhypopituitarism,pubdate_desc,1,Magdalena,Avbelj Stefanija,Hassan,Samar,female,0.98,0.02,female,0.9,0.1,36.9,21.68,18.58,0.23,19.09,3.53,,,,,,
35418791,Panhypopituitarism,pubdate_desc,1,Mohamed,Kamal,Alsaedi,Abdulaziz,male,0.02,0.98,male,0.02,0.98,,,,,,,29.53,5.49,49.01,0.31,14.55,1.11
35384023,Panhypopituitarism,pubdate_desc,1,Xueyan,Wu,Huang,Qibin,female,0.79,0.21,male,0,1,1.03,0.09,96.83,0.02,1.74,0.29,1.32,0.19,95.94,0.02,2,0.52
35383719,Panhypopituitarism,pubdate_desc,1,Juan,Fernandez-Miranda,Vigo,Vera,male,0.02,0.98,female,0.98,0.02,26.1,1.94,3.07,(S),(S),67.45,,,,,,
35365091,Panhypopituitarism,pubdate_desc,2,Mohammad,Khamseh,Hassani,Behrooz,male,0.02,0.98,male,0.01,0.99,77.58,2.65,5.01,(S),13.57,(S),,,,,,
35088194,Panhypopituitarism,pubdate_desc,2,Tatsuya,Atsumi,Takahashi,Yuka,male,0,1,female,0.96,0.04,5.03,(S),86.3,(S),6.64,1.93,,,,,,
34921505,Panhypopituitarism,pubdate_desc,2,Sofia,Douzgou,Corder,Megan,female,0.98,0.02,female,0.96,0.04,90.32,5.74,0.39,0.55,1.07,1.92,,,,,,
35349010,Panhypopituitarism,pubdate_desc,2,Giuseppe,Umana,Palmisciano,Paolo,male,0.01,0.99,male,0.01,0.99,94.07,(S),(S),0,0,4.24,5.98,2.43,0.46,(S),(S),90.65
35331151,Panhypopituitarism,pubdate_desc,2,Monica,Fumagalli,Consales,Alessandra,female,0.99,0.01,female,0.99,0.01,,,,,,,90.83,0,0,(S),(S),7.42
35137155,Panhypopituitarism,pubdate_desc,2,Irina,Bancos,Donegan,Diane,female,0.98,0.02,female,0.97,0.03,88.49,8.75,(S),(S),1.06,1.26,,,,,,
35315601,Panhypopituitarism,pubdate_desc,2,Jeesuk,Yu,Lim,Han Hyuk,female,0.67,0.33,,,,3.19,0.3,91.51,0.11,3.6,1.3,1.45,(S),96.22,(S),1.68,0.56
35530378,Panhypopituitarism,pubdate_desc,2,Azraai,Nasruddin,Goh,Kian Guan,male,0,1,,,,4.61,(S),88.81,1.41,4.05,(S),,,,,,
35303908,Panhypopituitarism,pubdate_desc,2,Zhi,Li,Fan,Yang-Hua,male,0.25,0.75,,,,4.63,0.51,92.53,(S),1.86,(S),1.28,0.12,96.44,0.01,1.4,0.75
35311034,Panhypopituitarism,pubdate_desc,2,Ved Bhushan,Arya,Korkmaz,Hüseyin Anil,male,0.06,0.94,,,,91.74,(S),0,0,7.34,(S),17.03,(S),74.55,(S),5.38,2.69
32222110,Papillon-Lefevre Syndrome,relevance,1,Roxanna,Sadoughifar,Giannetti,Luca,female,0.97,0.03,male,0.04,0.96,97.55,(S),(S),0,(S),1.98,,,,,,
19031795,Papillon-Lefevre Syndrome,relevance,1,Chang-Ai,Zeng,Li,Sheng,,,,male,0.2,0.8,1.28,0.12,96.44,0.01,1.4,0.75,2.24,0.16,96.58,(S),0.92,(S)
21165749,Papillon-Lefevre Syndrome,relevance,1,Sinan,Sarı,Dalgıc,Buket,male,0.03,0.97,female,0.97,0.03,,,,,,,69.29,1.93,10.24,0.89,4.3,13.35
30156642,Papillon-Lefevre Syndrome,relevance,1,Vitória Regina Pedreira de Almeida,Rêgo,Silva,Thadeu Santos,,,,,,,33.68,1.19,1.82,0.41,4.75,58.15,,,,,,
9673173,Papillon-Lefevre Syndrome,relevance,1,L,Shapira,Hart,C,male,0.4,0.6,male,0.33,0.67,82.71,12.92,0.46,0.73,1.48,1.7,94.72,(S),2.11,0,2.82,(S)
31872409,Papillon-Lefevre Syndrome,relevance,1,Hakima,Chhoul,Benkarroum,Fatima Zahra,female,0.97,0.03,,,,,,,,,,,,,,,
33240004,Papillon-Lefevre Syndrome,relevance,1,Marzena,Wyganowska-Świątkowska,Adamski,Zygmunt,female,0.98,0.02,male,0.02,0.98,97.38,0.17,0.28,0.17,0.91,1.1,,,,,,
32855368,Papillon-Lefevre Syndrome,relevance,1,Mahshid,Namdari,Atarbashi-Moghadam,Fazele,female,0.99,0.01,female,1,0,,,,,,,,,,,,
22081200,Papillon-Lefevre Syndrome,relevance,1,S,Sharma,Singh,P,male,0.32,0.68,male,0.24,0.76,3.51,3.09,74.44,1.01,15.3,2.65,4.23,0.62,85.65,0.44,8.03,1.03
26203280,Papillon-Lefevre Syndrome,relevance,1,Pathipaka,Suman,Sreeramulu,Basapogu,,,,,,,,,,,,,87.36,(S),7.85,(S),2.09,1.35
29789144,Papillon-Lefevre Syndrome,relevance,2,Osman Murat,Bilge,Derindağ,Gözde,male,0.03,0.97,,,,,,,,,,,,,,,
22144846,Papillon-Lefevre Syndrome,relevance,2,Mahalakshmi,Krishnan,Veerabahu,Bagavad Gita,female,0.98,0.02,,,,,,,,,,2.2,(S),91.79,(S),5.32,0.24
25421448,Papillon-Lefevre Syndrome,relevance,2,Nicholas,Gutierrez,Jose,Jean,male,0.01,0.99,male,0.05,0.95,22.45,3.56,31.93,7.71,3.21,31.14,5.21,0.25,1.4,0.33,0.42,92.39
21886733,Papillon-Lefevre Syndrome,relevance,2,Qazi,Masood,Ahmad,Mashkoor,male,0.04,0.96,male,0,1,19.93,8.72,52.17,0.2,16.13,2.84,13.99,1.57,69.02,(S),13.86,(S)
19540439,Papillon-Lefevre Syndrome,relevance,2,Parmanand,Dhanrajani,Dhanrajani,Parmanand,male,0,1,male,0,1,,,,,,,,,,,,
30180413,Papillon-Lefevre Syndrome,relevance,2,P,Liu,Peng,F,male,0.4,0.6,male,0.23,0.77,3.13,0.4,78.3,0.15,1.39,16.63,1.83,0.15,95.46,0.04,2.06,0.46
32463525,Papillon-Lefevre Syndrome,relevance,2,Tamio,Suzuki,Hayashi,Masahiro,male,0.05,0.95,male,0,1,7.78,(S),82.77,(S),7.72,1.6,5.5,(S),86.72,(S),5.58,2.01
23559660,Papillon-Lefevre Syndrome,relevance,2,Shridevi,Adaki,Shah,Kaushal Mahendra,female,1,0,,,,4.05,1.14,87.8,0.24,5.88,0.89,,,,,,
26957212,Papillon-Lefevre Syndrome,relevance,2,Iain,Chapple,Roberts,Helen,male,0.01,0.99,female,0.98,0.02,79.56,15.86,0.47,0.85,1.67,1.58,59.62,35.96,0.34,0.28,1.77,2.04
31244643,Papillon-Lefevre Syndrome,relevance,2,Ghadah,Alotaibi,Alsaif,Fahad,female,0.97,0.03,male,0.02,0.98,,,,,,,30.61,(S),3.57,0,63.27,(S)
35292437,Papillon-Lefevre Syndrome,pubdate_desc,1,Ralph,Kettritz,Jerke,Uwe,male,0.01,0.99,male,0.01,0.99,98.62,(S),(S),(S),0,(S),,,,,,
35566565,Papillon-Lefevre Syndrome,pubdate_desc,1,Peter,Eickholz,Nickles,Katrin,male,0.01,0.99,female,0.97,0.03,82.55,12.54,0.33,0.69,1.32,2.57,,,,,,
35329073,Papillon-Lefevre Syndrome,pubdate_desc,1,Dorota,Olczak-Kowalczyk,Spodzieja,Karolina,female,0.98,0.02,female,0.98,0.02,,,,,,,,,,,,
34704316,Papillon-Lefevre Syndrome,pubdate_desc,1,D,Hohl,Leuenberger,M,male,0.23,0.77,female,0.6,0.4,96.26,(S),1.29,(S),1.29,(S),94.9,1.15,(S),(S),1.15,2.2
34932608,Papillon-Lefevre Syndrome,pubdate_desc,1,Johan,Bylund,Sanchez Klose,Felix,male,0.01,0.99,male,0.02,0.98,,,,,,,96.48,(S),(S),0,(S),2.64
34492551,Papillon-Lefevre Syndrome,pubdate_desc,1,Xin Hua,Liu,Shen,Xiao Bao,female,0.52,0.48,,,,4.36,(S),93.27,(S),1.54,0.44,1.83,0.15,95.46,0.04,2.06,0.46
34961738,Papillon-Lefevre Syndrome,pubdate_desc,1,Thierry,Bienvenu,Sperelakis-Beedham,Brian,male,0.01,0.99,male,0.01,0.99,,,,,,,89.39,7.71,(S),(S),0.67,1.9
33738798,Papillon-Lefevre Syndrome,pubdate_desc,1,Jiro,Kitaura,Yasudo,Hiroki,male,0.06,0.94,male,0,1,,,,,,,,,,,,
34603725,Papillon-Lefevre Syndrome,pubdate_desc,1,Azadeh,Goodarzi,Moghaddasi,Mehdi,female,0.98,0.02,male,0.02,0.98,,,,,,,83.48,(S),(S),0,11.3,(S)
34513733,Papillon-Lefevre Syndrome,pubdate_desc,1,Loise Pedrosa,Salles,Lettieri,Giulia Melo,female,0.94,0.06,,,,96.74,(S),(S),(S),0.62,2.29,70.47,2.76,(S),(S),4.84,20.55
34341640,Papillon-Lefevre Syndrome,pubdate_desc,2,Suying,Feng,Wang,Yuan,female,1,0,male,0.44,0.56,3.25,0.19,94.47,0.03,1.73,0.33,1.85,(S),96.02,(S),1.38,0.69
34271191,Papillon-Lefevre Syndrome,pubdate_desc,2,Nima,Rezaei,Ziaei,Heliya,male,0.14,0.86,female,0.85,0.15,,,,,,,82.14,0,(S),0,14.88,(S)
33586345,Papillon-Lefevre Syndrome,pubdate_desc,2,Hamidreza,Arab,Ghanei,Mahmoud,male,0.01,0.99,male,0.02,0.98,,,,,,,62.71,7.18,12.98,0,11.33,5.8
33580910,Papillon-Lefevre Syndrome,pubdate_desc,2,Robert,Gruber,Umlauft,Julian,male,0.01,0.99,male,0.02,0.98,,,,,,,95.57,0.63,0.47,0.79,1.29,1.24
33445524,Papillon-Lefevre Syndrome,pubdate_desc,2,Pedro,Bullón,Castejón-Vega,Beatriz,male,0.01,0.99,female,0.99,0.01,,,,,,,,,,,,
34002717,Papillon-Lefevre Syndrome,pubdate_desc,2,Shariq,Najeeb,Nassani,Mohammad,male,0.01,0.99,male,0.02,0.98,,,,,,,,,,,,
32692176,Papillon-Lefevre Syndrome,pubdate_desc,2,Dieter,Jenne,Korkmaz,Brice,male,0.01,0.99,male,0.01,0.99,91.74,(S),0,0,7.34,(S),94.94,1.59,1.01,0,1.01,1.45
33240004,Papillon-Lefevre Syndrome,pubdate_desc,2,Marzena,Wyganowska-Świątkowska,Adamski,Zygmunt,female,0.98,0.02,male,0.02,0.98,97.38,0.17,0.28,0.17,0.91,1.1,,,,,,
33042508,Papillon-Lefevre Syndrome,pubdate_desc,2,Shankargouda,Patil,Patil,Shweta,male,0,1,female,0.98,0.02,5.62,(S),89.55,(S),3.82,0.79,5.62,(S),89.55,(S),3.82,0.79
32855368,Papillon-Lefevre Syndrome,pubdate_desc,2,Mahshid,Namdari,Atarbashi-Moghadam,Fazele,female,0.99,0.01,female,1,0,,,,,,,,,,,,
11528847,Paramyotonia Congenita,relevance,1,Y,Fukushima,Yoshida,K,male,0.26,0.74,male,0.34,0.66,7.03,0.27,82.65,0.15,8.23,1.68,4.59,0.5,84.13,0,8.58,2.2
1947488,Paramyotonia Congenita,relevance,1,W,Streib,Streib,W,male,0.37,0.63,male,0.22,0.78,97.1,(S),1.04,0,(S),1.66,97.1,(S),1.04,0,(S),1.66
25037086,Paramyotonia Congenita,relevance,1,Charles,Thornton,Thornton,Charles,male,0.01,0.99,male,0.01,0.99,69.33,26.53,0.37,0.66,1.8,1.31,69.33,26.53,0.37,0.66,1.8,1.31
32083589,Paramyotonia Congenita,relevance,1,Yuji,Takahashi,Taminato,Tomoya,male,0.03,0.97,male,0,1,,,,,,,5.03,(S),86.3,(S),6.64,1.93
13544644,Paramyotonia Congenita,relevance,1,M,SHY,DRAGER,A,male,0.26,0.74,male,0.32,0.68,97.79,(S),0.49,(S),0.49,1.14,52.51,34.26,9.47,0.68,2,1.07
30647473,Paramyotonia Congenita,relevance,1,Egon,Kurca,Cibulcik,Frantisek,male,0.02,0.98,male,0.01,0.99,,,,,,,,,,,,
11555891,Paramyotonia Congenita,relevance,1,T,Kurihara,Kurihara,T,male,0.39,0.61,male,0.39,0.61,4.77,0,86.4,0,6.18,2.65,4.77,0,86.4,0,6.18,2.65
13688071,Paramyotonia Congenita,relevance,1,J,DYCK,BAXTER,W,male,0.24,0.76,male,0.22,0.78,82.59,13.24,0.48,0.68,1.46,1.54,90.08,2.98,(S),(S),1.82,4.52
33835497,Paramyotonia Congenita,relevance,1,Enrico,Alfonsi,Ravaglia,Sabrina,male,0.01,0.99,female,0.98,0.02,,,,,,,96,(S),(S),0,2.13,1.33
32270509,Paramyotonia Congenita,relevance,1,Jeffrey,Statland,Stunnenberg,Bas,male,0.01,0.99,male,0.03,0.97,,,,,,,,,,,,
31794466,Paramyotonia Congenita,relevance,2,Nicholas,Johnson,Johnson,Nicholas,male,0.01,0.99,male,0.01,0.99,61.55,33.8,0.42,0.91,1.82,1.5,61.55,33.8,0.42,0.91,1.82,1.5
8089960,Paramyotonia Congenita,relevance,2,S,Nakajima,Izumi,Y,male,0.32,0.68,male,0.26,0.74,8.23,(S),79.43,(S),8.54,3.48,3.85,(S),90.17,0,5.71,(S)
30931713,Paramyotonia Congenita,relevance,2,Junhong,Guo,Huang,Shan,male,0.04,0.96,male,0.32,0.68,1.03,0.09,96.83,0.02,1.74,0.29,0.91,(S),97.59,(S),0.92,0.4
25121518,Paramyotonia Congenita,relevance,2,David,Hilton-Jones,Turner,Chris,male,0.01,0.99,male,0.1,0.9,66.67,29.31,0.33,0.56,1.72,1.4,,,,,,
30390395,Paramyotonia Congenita,relevance,2,W,David Arnold,Lorusso,Samantha,male,0.22,0.78,female,0.98,0.02,96.79,(S),(S),0.4,1.01,1.45,,,,,,
21267030,Paramyotonia Congenita,relevance,2,Nils Jakob,Brautaset,Brautaset,Nils Jakob,male,0.01,0.99,,,,,,,,,,,,,,,
18033047,Paramyotonia Congenita,relevance,2,J-L,Renard,Sallansonnet-Froment,M,male,0.06,0.94,female,0.6,0.4,,,,,,,85.63,8.62,0.72,0.41,1.95,2.67
14518660,Paramyotonia Congenita,relevance,2,Akira,Tamaoka,Tamaoka,Akira,male,0.15,0.85,male,0.15,0.85,,,,,,,,,,,,
29111379,Paramyotonia Congenita,relevance,2,Jesús,Molano Mateos,Palma,Carmen,,,,female,0.98,0.02,27.16,0.96,5.66,0.32,1.04,64.85,,,,,,
27060299,Paramyotonia Congenita,relevance,2,Juan,Du,Li,Wen,male,0.02,0.98,female,0.54,0.46,1.28,0.12,96.44,0.01,1.4,0.75,2.66,(S),94.82,(S),1.2,0.69
35170402,Paramyotonia Congenita,pubdate_desc,1,Xusheng,Huang,Li,Yifan,male,0,1,male,0.29,0.71,1.28,0.12,96.44,0.01,1.4,0.75,1.03,0.09,96.83,0.02,1.74,0.29
35243403,Paramyotonia Congenita,pubdate_desc,1,Brian,Pollack,Kong,Ha Eun,male,0.01,0.99,,,,6.34,2.32,85.21,0.14,4.63,1.36,93.96,1.88,0.49,0.08,1,2.59
35212003,Paramyotonia Congenita,pubdate_desc,1,Elise,Duchesne,Bélair,Nicolas,female,0.96,0.04,male,0.01,0.99,,,,,,,87.71,1.3,(S),(S),1.5,9.09
33531161,Paramyotonia Congenita,pubdate_desc,1,Yu-Jang,Su,Chien,Shih-Chao,,,,,,,3.27,0.37,93.49,0.15,2.25,0.46,1.97,(S),94.03,(S),1.86,1.87
35483041,Paramyotonia Congenita,pubdate_desc,1,Steven,Zimmerman,Lee,JuYeon,male,0.01,0.99,female,0.89,0.11,40.09,17.41,37.83,1.03,2.3,1.34,94.81,2.27,0.43,0.27,0.97,1.25
35575811,Paramyotonia Congenita,pubdate_desc,1,Gabriella,Silvestri,Nicoletti,Tommaso,female,0.99,0.01,male,0.01,0.99,95.62,(S),0.21,(S),1.3,2.73,94.78,0.22,0.47,0.36,1.06,3.1
35575095,Paramyotonia Congenita,pubdate_desc,1,Charles,Thornton,Mackenzie,Samuel,male,0.01,0.99,male,0.01,0.99,94.5,1.11,0.71,0.26,1.41,2.02,69.33,26.53,0.37,0.66,1.8,1.31
35316212,Paramyotonia Congenita,pubdate_desc,1,Mark,Tarnopolsky,Mikhail,Andrew,male,0.01,0.99,male,0.01,0.99,81.17,1.63,(S),(S),14.01,2.41,,,,,,
32491378,Paramyotonia Congenita,pubdate_desc,1,,,,,female,0.7,0.3,female,0.7,0.3,,,,,,,,,,,,
35325614,Paramyotonia Congenita,pubdate_desc,1,James,Gusella,Lee,Jong-Min,male,0.01,0.99,male,0.07,0.93,40.09,17.41,37.83,1.03,2.3,1.34,,,,,,
35562158,Paramyotonia Congenita,pubdate_desc,2,Prajnya,Ranganath,Narasimhaiah,Deepti,female,1,0,female,0.98,0.02,,,,,,,,,,,,
35361525,Paramyotonia Congenita,pubdate_desc,2,Darren,Monckton,Hamilton,Mark,male,0.01,0.99,male,0.01,0.99,72.79,22.65,0.44,0.78,1.73,1.61,94.62,(S),(S),(S),(S),(S)
35305881,Paramyotonia Congenita,pubdate_desc,2,Mélanie,Morin,Fisette-Paulhus,Isabelle,,,,female,0.99,0.01,,,,,,,72.99,0.87,1.71,2.13,1.38,20.93
35179228,Paramyotonia Congenita,pubdate_desc,2,,,Deutsch,Gayle,,,,female,0.93,0.07,96.39,0.32,0.39,0.17,1.44,1.28,,,,,,
34981221,Paramyotonia Congenita,pubdate_desc,2,Paul,Maddison,Sedehizadeh,Saam,male,0.01,0.99,male,0.14,0.86,,,,,,,75.15,13.33,6.26,1.21,1.62,2.42
34953819,Paramyotonia Congenita,pubdate_desc,2,Partha,Ghosh,Wright,Sarah,male,0.01,0.99,female,0.98,0.02,68.3,27.36,0.4,0.66,1.75,1.52,4.91,0.48,88.35,0.24,5.54,0.48
34704149,Paramyotonia Congenita,pubdate_desc,2,Ha-Neul,Jeong,Lee,Ju-Yeun,female,0.85,0.15,,,,40.09,17.41,37.83,1.03,2.3,1.34,1.63,(S),96,(S),1.38,0.85
35483324,Paramyotonia Congenita,pubdate_desc,2,Kun,Huang,Liao,Qiao,male,0.22,0.78,female,0.59,0.41,1.56,(S),95.95,(S),1.68,0.71,1.03,0.09,96.83,0.02,1.74,0.29
35563214,Paramyotonia Congenita,pubdate_desc,2,Stavros,Taraviras,Chamakioti,Myrsini,male,0.01,0.99,female,1,0,,,,,,,,,,,,
35500790,Paramyotonia Congenita,pubdate_desc,2,Katja,Zeppenfeld,Groh,William,female,0.97,0.03,male,0.01,0.99,96.48,0.13,0.74,0.43,1.02,1.2,,,,,,
34076832,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1,Sudhakar,Tummala,Lehner,Michael,male,0.01,0.99,male,0.01,0.99,96.47,0.28,0.44,0.19,0.91,1.7,2.1,(S),94.54,0,2.94,(S)
32809473,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1,,,,,female,0.7,0.3,female,0.7,0.3,,,,,,,,,,,,
34827413,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1,Ole,Simon,Loehrer,Philipp Alexander,male,0.05,0.95,,,,96.68,(S),(S),0,0,2.21,69.94,20.95,1.98,0.65,1.83,4.66
21827891,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1,Steven,Vernino,Vernino,Steven,male,0.01,0.99,male,0.01,0.99,,,,,,,,,,,,
20420175,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1,Koichiro,Sakai,Sakai,Koichiro,male,0,1,male,0,1,9.47,0.22,81.2,0.35,6.82,1.95,9.47,0.22,81.2,0.35,6.82,1.95
33029958,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1,Zhenfu,Wang,Sun,Xuan,male,0,1,male,0.42,0.58,2.78,0.18,93.46,0.33,2.5,0.76,3.25,0.19,94.47,0.03,1.73,0.33
33531379,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1,Christian,Vedeler,Herdlevær,Ida,male,0.01,0.99,female,0.97,0.03,,,,,,,,,,,,
32655545,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1,Roland,Liblau,Yshii,Lidia,male,0.01,0.99,female,0.99,0.01,,,,,,,,,,,,
29679372,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1,M,Schubert,Panja,D,female,0.6,0.4,male,0.23,0.77,,,,,,,95.85,0.31,0.56,0.37,0.87,2.03
7863150,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1,Y,Delattre,Chabriat,H,male,0.14,0.86,male,0.24,0.76,,,,,,,98.54,0,0,0,(S),(S)
24705493,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2,Josep,Dalmau,Graus,Francesc,male,0.01,0.99,male,0.02,0.98,89.13,2.54,(S),(S),5.43,2.17,22.94,3.23,0,(S),(S),72.76
33555484,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2,Nalin,Malhotra,Nanda,Satyan,male,0.48,0.52,male,0,1,6.45,(S),86.45,(S),6.13,(S),5.01,0.31,87.49,0.41,5.89,0.88
33009713,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2,Christian,Vedeler,Herdlevaer,Ida,male,0.01,0.99,female,0.97,0.03,,,,,,,,,,,,
27606347,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2,Puneet,Opal,Venkatraman,Anand,male,0.02,0.98,male,0.01,0.99,(S),0,96.03,0,2.38,(S),91.51,(S),1.33,(S),1.59,3.71
33968470,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2,Deborah,Hall,Witek,Natalie,female,0.99,0.01,female,0.98,0.02,97.98,(S),0.34,(S),0.54,0.87,75.11,20.75,0.48,0.63,1.63,1.4
33328403,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2,Toshiaki,Hamano,Wada,Shinichi,male,0,1,male,0.01,0.99,10.83,2.62,78.28,0,5.86,2.4,6.81,(S),87.66,0,4.26,(S)
33630801,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2,Flavio,Nobili,Massa,Federico,male,0.01,0.99,male,0.01,0.99,86.21,0.97,0.71,0.32,1.27,10.51,90.98,0,(S),0,(S),6.02
34030742,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2,Tim,Hagenacker,Feldheim,Jonas,male,0.01,0.99,male,0.01,0.99,98.49,(S),0,0,0,(S),,,,,,
33477892,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2,Gülgün,Uncu,Ayas,Zeynep Özözen,,,,,,,,,,,,,,,,,,
34006695,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2,Hiroshi,Mitoma,Mitoma,Hiroshi,male,0.01,0.99,male,0.01,0.99,,,,,,,,,,,,
32809473,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1,,,,,female,0.7,0.3,female,0.7,0.3,,,,,,,,,,,,
35501715,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1,Yoshihisa,Yamano,Imai,Takeshi,male,0.01,0.99,male,0,1,9.62,(S),76.76,(S),8.1,4.63,5.26,(S),85.71,0,6.77,(S)
35250990,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1,Yuping,Wang,Jia,Yu,female,0.58,0.42,male,0.46,0.54,0.81,(S),96.87,(S),1.41,0.51,3.25,0.19,94.47,0.03,1.73,0.33
34392286,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1,Rukmini Mridula,Kandadai,Komandla,Shivaram Rao,female,1,0,,,,,,,,,,,,,,,
35004023,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1,Polly,Niravath,Chatham,Mathew,female,0.9,0.1,male,0.01,0.99,89.32,6.27,1.04,0.25,1.43,1.7,,,,,,
