query,search_type,page,country
literacy skills,relevance,2,
mTOR signalling pathway,pubdate_desc,1,
mTOR signalling pathway,pubdate_desc,2,
mTOR signalling pathway,relevance,1,PORTUGAL
mTOR signalling pathway,relevance,2,USA
neighborhood environment,pubdate_desc,1,
neighborhood environment,pubdate_desc,2,
neighborhood environment,relevance,1,USA
neighborhood environment,relevance,2,
nutritional status children,pubdate_desc,1,
nutritional status children,pubdate_desc,2,
nutritional status children,relevance,1,AUSTRALIA
nutritional status children,relevance,2,
partner violence,pubdate_desc,1,
partner violence,pubdate_desc,2,
partner violence,relevance,1,USA
partner violence,relevance,2,USA
physical activity and exercise,pubdate_desc,1,
physical activity and exercise,pubdate_desc,2,
physical activity and exercise,relevance,1,USA
physical activity and exercise,relevance,2,
polluted air or polluted water,pubdate_desc,1,
polluted air or polluted water,pubdate_desc,2,
polluted air or polluted water,relevance,1,USA
polluted air or polluted water,relevance,2,USA
public transportation,pubdate_desc,1,
public transportation,pubdate_desc,2,
public transportation,relevance,1,
public transportation,relevance,2,
structural racism,pubdate_desc,1,
structural racism,pubdate_desc,2,
structural racism,relevance,1,
structural racism,relevance,2,
