query,search_type,page,is_english_only
Transverse myelitis,pubdate_desc,1,1.0
Transverse myelitis,pubdate_desc,2,1.0
Transverse myelitis,relevance,1,1.0
Transverse myelitis,relevance,2,0.8
Trihexyphenidyl,pubdate_desc,1,1.0
Trihexyphenidyl,pubdate_desc,2,1.0
Trihexyphenidyl,relevance,1,1.0
Trihexyphenidyl,relevance,2,1.0
Trusses,pubdate_desc,1,1.0
Trusses,pubdate_desc,2,1.0
Trusses,relevance,1,1.0
Trusses,relevance,2,0.9
Upadacitinib,pubdate_desc,1,0.9
Upadacitinib,pubdate_desc,2,1.0
Upadacitinib,relevance,1,1.0
Upadacitinib,relevance,2,1.0
Urinary Catheters,pubdate_desc,1,1.0
Urinary Catheters,pubdate_desc,2,0.9
Urinary Catheters,relevance,1,0.8
Urinary Catheters,relevance,2,1.0
VEGF signalling pathway,pubdate_desc,1,1.0
VEGF signalling pathway,pubdate_desc,2,1.0
VEGF signalling pathway,relevance,1,1.0
VEGF signalling pathway,relevance,2,1.0
Vasculitis,pubdate_desc,1,1.0
Vasculitis,pubdate_desc,2,0.3
Vasculitis,relevance,1,0.9
Vasculitis,relevance,2,1.0
Viloxazine,pubdate_desc,1,1.0
Viloxazine,pubdate_desc,2,1.0
Viloxazine,relevance,1,1.0
Viloxazine,relevance,2,1.0
Warfarin,pubdate_desc,1,1.0
Warfarin,pubdate_desc,2,1.0
Warfarin,relevance,1,1.0
Warfarin,relevance,2,0.8
Wheelchairs,pubdate_desc,1,1.0
Wheelchairs,pubdate_desc,2,1.0
Wheelchairs,relevance,1,1.0
Wheelchairs,relevance,2,1.0
Wilson’s Disease,pubdate_desc,1,1.0
Wilson’s Disease,pubdate_desc,2,0.8888888888888888
Wilson’s Disease,relevance,1,0.9
Wilson’s Disease,relevance,2,0.8
Wnt signalling pathway,pubdate_desc,1,1.0
Wnt signalling pathway,pubdate_desc,2,1.0
Wnt signalling pathway,relevance,1,1.0
Wnt signalling pathway,relevance,2,1.0
Xanax,pubdate_desc,1,0.8888888888888888
Xanax,pubdate_desc,2,1.0
Xanax,relevance,1,1.0
Xanax,relevance,2,1.0
Zonisamide,pubdate_desc,1,1.0
Zonisamide,pubdate_desc,2,1.0
Zonisamide,relevance,1,1.0
Zonisamide,relevance,2,1.0
cAMP-dependent pathway,pubdate_desc,1,1.0
cAMP-dependent pathway,pubdate_desc,2,1.0
cAMP-dependent pathway,relevance,1,1.0
cAMP-dependent pathway,relevance,2,1.0
discrimination,pubdate_desc,1,1.0
discrimination,pubdate_desc,2,1.0
discrimination,relevance,1,1.0
discrimination,relevance,2,1.0
literacy skills,pubdate_desc,1,1.0
literacy skills,pubdate_desc,2,1.0
literacy skills,relevance,1,0.9
literacy skills,relevance,2,1.0
mTOR signalling pathway,pubdate_desc,1,1.0
mTOR signalling pathway,pubdate_desc,2,1.0
mTOR signalling pathway,relevance,1,1.0
mTOR signalling pathway,relevance,2,1.0
neighborhood environment,pubdate_desc,1,1.0
neighborhood environment,pubdate_desc,2,1.0
neighborhood environment,relevance,1,1.0
neighborhood environment,relevance,2,1.0
nutritional status children,pubdate_desc,1,1.0
nutritional status children,pubdate_desc,2,1.0
nutritional status children,relevance,1,0.9
nutritional status children,relevance,2,1.0
partner violence,pubdate_desc,1,1.0
partner violence,pubdate_desc,2,1.0
partner violence,relevance,1,0.8
partner violence,relevance,2,1.0
physical activity and exercise,pubdate_desc,1,1.0
physical activity and exercise,pubdate_desc,2,1.0
physical activity and exercise,relevance,1,0.8
physical activity and exercise,relevance,2,1.0
polluted air or polluted water,pubdate_desc,1,1.0
polluted air or polluted water,pubdate_desc,2,1.0
polluted air or polluted water,relevance,1,0.9
polluted air or polluted water,relevance,2,1.0
public transportation,pubdate_desc,1,1.0
public transportation,pubdate_desc,2,1.0
public transportation,relevance,1,1.0
public transportation,relevance,2,1.0
structural racism,pubdate_desc,1,1.0
structural racism,pubdate_desc,2,1.0
structural racism,relevance,1,1.0
structural racism,relevance,2,1.0
