query,search_type,page,country_code
Trihexyphenidyl,pubdate_desc,1,0.5
Trihexyphenidyl,pubdate_desc,2,0.6
Trihexyphenidyl,relevance,1,0.9
Trihexyphenidyl,relevance,2,0.8
Trusses,pubdate_desc,1,0.5
Trusses,pubdate_desc,2,0.5
Trusses,relevance,1,0.9
Trusses,relevance,2,0.7
Upadacitinib,pubdate_desc,1,0.7
Upadacitinib,pubdate_desc,2,0.7
Upadacitinib,relevance,1,0.8
Upadacitinib,relevance,2,0.8
Urinary Catheters,pubdate_desc,1,0.7
Urinary Catheters,pubdate_desc,2,0.4
Urinary Catheters,relevance,1,0.8
Urinary Catheters,relevance,2,0.9
VEGF signalling pathway,pubdate_desc,1,0.6
VEGF signalling pathway,pubdate_desc,2,0.8
VEGF signalling pathway,relevance,1,0.7
VEGF signalling pathway,relevance,2,0.9
Vasculitis,pubdate_desc,1,0.7
Vasculitis,pubdate_desc,2,0.3
Vasculitis,relevance,1,0.6
Vasculitis,relevance,2,0.9
Viloxazine,pubdate_desc,1,0.5
Viloxazine,pubdate_desc,2,0.4
Viloxazine,relevance,1,0.4
Viloxazine,relevance,2,0.4
Warfarin,pubdate_desc,1,0.8
Warfarin,pubdate_desc,2,0.5
Warfarin,relevance,1,0.5
Warfarin,relevance,2,0.6
Wheelchairs,pubdate_desc,1,1.0
Wheelchairs,pubdate_desc,2,0.7
Wheelchairs,relevance,1,0.7
Wheelchairs,relevance,2,1.0
Wilson’s Disease,pubdate_desc,1,0.7
Wilson’s Disease,pubdate_desc,2,0.7
Wilson’s Disease,relevance,1,0.3
Wilson’s Disease,relevance,2,0.5
Wnt signalling pathway,pubdate_desc,1,0.8
Wnt signalling pathway,pubdate_desc,2,0.4
Wnt signalling pathway,relevance,1,0.8
Wnt signalling pathway,relevance,2,0.6
Xanax,pubdate_desc,1,0.7
Xanax,pubdate_desc,2,0.7
Xanax,relevance,1,0.8
Xanax,relevance,2,0.9
Zonisamide,pubdate_desc,1,0.5
Zonisamide,pubdate_desc,2,0.9
Zonisamide,relevance,1,0.7
Zonisamide,relevance,2,0.7
cAMP-dependent pathway,pubdate_desc,1,0.8
cAMP-dependent pathway,pubdate_desc,2,0.3
cAMP-dependent pathway,relevance,1,0.6
cAMP-dependent pathway,relevance,2,0.7
discrimination,pubdate_desc,1,1.0
discrimination,pubdate_desc,2,1.0
discrimination,relevance,1,0.7
discrimination,relevance,2,0.7
literacy skills,pubdate_desc,1,0.8
literacy skills,pubdate_desc,2,0.9
literacy skills,relevance,1,0.8
literacy skills,relevance,2,0.9
mTOR signalling pathway,pubdate_desc,1,0.6
mTOR signalling pathway,pubdate_desc,2,0.5
mTOR signalling pathway,relevance,1,0.4
mTOR signalling pathway,relevance,2,0.9
neighborhood environment,pubdate_desc,1,0.4
neighborhood environment,pubdate_desc,2,0.8
neighborhood environment,relevance,1,0.6
neighborhood environment,relevance,2,0.6
nutritional status children,pubdate_desc,1,0.8
nutritional status children,pubdate_desc,2,0.7
nutritional status children,relevance,1,0.5
nutritional status children,relevance,2,0.7
partner violence,pubdate_desc,1,0.8
partner violence,pubdate_desc,2,0.9
partner violence,relevance,1,0.7
partner violence,relevance,2,0.9
physical activity and exercise,pubdate_desc,1,0.9
physical activity and exercise,pubdate_desc,2,0.9
physical activity and exercise,relevance,1,0.4
physical activity and exercise,relevance,2,0.8
polluted air or polluted water,pubdate_desc,1,0.7
polluted air or polluted water,pubdate_desc,2,1.0
polluted air or polluted water,relevance,1,0.7
polluted air or polluted water,relevance,2,0.8
public transportation,pubdate_desc,1,0.7
public transportation,pubdate_desc,2,0.7
public transportation,relevance,1,0.5
public transportation,relevance,2,0.4
structural racism,pubdate_desc,1,0.9
structural racism,pubdate_desc,2,0.7
structural racism,relevance,1,0.9
structural racism,relevance,2,0.9
